symbol,last_price,date
GFGV7400AB,0.0,0001-01-01T00:00:00
GFGV7600AB,300.0,0001-01-01T00:00:00
GFGC7600AB,0.0,0001-01-01T00:00:00
GFGC7800AB,0.0,0001-01-01T00:00:00
GFGV7800AB,0.0,0001-01-01T00:00:00
GFGC8000AB,0.0,0001-01-01T00:00:00
GFGV8000AB,0.0,0001-01-01T00:00:00
GFGC8300AB,0.0,0001-01-01T00:00:00
GFGV8300AB,600.0,0001-01-01T00:00:00
GFGC8600AB,0.0,0001-01-01T00:00:00
GFGV8600AB,0.0,0001-01-01T00:00:00
GFGV8900AB,1135.0,0001-01-01T00:00:00
GFGC8900AB,0.0,0001-01-01T00:00:00
GFGV9200AB,0.0,0001-01-01T00:00:00
GFGC9200AB,0.0,0001-01-01T00:00:00
GFGV9500AB,0.0,0001-01-01T00:00:00
GFGC9500AB,0.0,0001-01-01T00:00:00
GFGV97772A,0.0,0001-01-01T00:00:00
GFGC97772A,0.0,0001-01-01T00:00:00
GFGV10200A,0.0,0001-01-01T00:00:00
GFGC10200A,0.0,0001-01-01T00:00:00
GFGC10600A,0.0,0001-01-01T00:00:00
GFGV10600A,0.0,0001-01-01T00:00:00
GFGC11000A,0.0,0001-01-01T00:00:00
GFGV11000A,0.0,0001-01-01T00:00:00
GFGV11400A,0.0,0001-01-01T00:00:00
GFGC11400A,0.0,0001-01-01T00:00:00
GFGC11800A,0.0,0001-01-01T00:00:00
GFGV11800A,0.0,0001-01-01T00:00:00
